,מועד המשחק,מארחת,אורחת,כמות ביטויי רגשות שליליים. 3 שעות לפני המשחק_x,כמות ביטויי רגשות שליליים. 0-24 שעות לפני המשחק_x,כמות ביטויי רגשות שליליים. 24-48 שעות לפני המשחק_x,כמות ביטויי רגשות שליליים. 48-72 שעות לפני המשחק_x,כמות ביטויי רגשות שליליים. 72-96 שעות לפני המשחק_x,כמות ביטויי רגשות שליליים. 96-130 שעות לפני המשחק_x,כמות ביטויי רגשות שליליים. 130-154 שעות לפני המשחק_x,כמות ביטויי רגשות שליליים. 154-178 שעות לפני המשחק_x,כמות לייקים לרגשות שליליים. 3 שעות לפני המשחק_x,כמות לייקים לרגשות שליליים. 0-24 שעות לפני המשחק_x,כמות לייקים לרגשות שליליים. 24-48 שעות לפני המשחק_x,כמות לייקים לרגשות שליליים. 48-72 שעות לפני המשחק_x,כמות לייקים לרגשות שליליים. 72-96 שעות לפני המשחק_x,כמות לייקים לרגשות שליליים. 96-130 שעות לפני המשחק_x,כמות לייקים לרגשות שליליים. 130-154 שעות לפני המשחק_x,כמות לייקים לרגשות שליליים. 154-178 שעות לפני המשחק_x,כמות ביטויי רגשות חיוביים. 3 שעות לפני המשחק_x,כמות ביטויי רגשות חיוביים. 0-24 שעות לפני המשחק_x,כמות ביטויי רגשות חיוביים. 24-48 שעות לפני המשחק_x,כמות ביטויי רגשות חיוביים. 48-72 שעות לפני המשחק_x,כמות ביטויי רגשות חיוביים. 72-96 שעות לפני המשחק_x,כמות ביטויי רגשות חיוביים. 96-130 שעות לפני המשחק_x,כמות ביטויי רגשות חיוביים. 130-154 שעות לפני המשחק_x,כמות ביטויי רגשות חיוביים. 154-178 שעות לפני המשחק_x,כמות לייקים לרגשות חיוביים. 3 שעות לפני המשחק_x,כמות לייקים לרגשות חיוביים. 0-24 שעות לפני המשחק_x,כמות לייקים לרגשות חיוביים. 24-48 שעות לפני המשחק_x,כמות לייקים לרגשות חיוביים. 48-72 שעות לפני המשחק_x,כמות לייקים לרגשות חיוביים. 72-96 שעות לפני המשחק_x,כמות לייקים לרגשות חיוביים. 96-130 שעות לפני המשחק_x,כמות לייקים לרגשות חיוביים. 130-154 שעות לפני המשחק_x,כמות לייקים לרגשות חיוביים. 154-178 שעות לפני המשחק_x,כמות ביטויי דרמטיזציה. 3 שעות לפני המשחק._x,כמות ביטויי דרמטיזציה. 0-24 שעות לפני המשחק_x,כמות ביטויי דרמטיזציה. 24-48 שעות לפני המשחק_x,כמות ביטויי דרמטיזציה. 48-72 שעות לפני המשחק_x,כמות ביטויי דרמטיזציה. 72-96 שעות לפני המשחק_x,כמות ביטויי דרמטיזציה. 96-130 שעות לפני המשחק_x,כמות ביטויי דרמטיזציה. 130-154 שעות לפני המשחק_x,כמות דרמטיזציה. 154-178 שעות לפני המשחק_x,כמות לייקים לביטויי דרמטיזציה. 3 שעות לפני המשחק_x,כמות לייקים לביטויי דרמטיזציה. 0-24 שעות לפני המשחק_x,כמות לייקים לביטויי דרמטיזציה. 24-48 שעות לפני המשחק_x,כמות לייקים לביטויי דרמטיזציה. 48-72 שעות לפני המשחק_x,כמות לייקים לביטויי דרמטיזציה. 72-96 שעות לפני המשחק_x,כמות לייקים לביטויי דרמטיזציה. 96-130 שעות לפני המשחק_x,כמות לייקים לביטויי דרמטיזציה. 130-154 שעות לפני המשחק_x,כמות לייקים לביטויי דרמטיזציה. 154-178 שעות לפני המשחק_x,כמות ביטויי התארגנות. 3 שעות לפני המשחק_x,כמות ביטויי התארגנות. 0-24 שעות לפני המשחק_x,כמות ביטויי התארגנות. 24-48 שעות לפני המשחק_x,כמות ביטויי התארגנות. 48-72 שעות לפני המשחק_x,כמות ביטויי התארגנות. 72-96 שעות לפני המשחק._x,כמות ביטויי התארגנות. 96-130 שעות לפני המשחק_x,כמות ביטויי התארגנות. 130-154 שעות לפני המשחק_x,כמות ביטויי התארגנות. 154-178 שעות לפני המשחק_x,כמות לייקים לביטויי התארגנות. 3 שעות לפני המשחק_x,כמות לייקים לביטויי התארגנות. 0-24 שעות לפני המשחק_x,כמות לייקים לביטויי התארגנות. 24-48 שעות לפני המשחק_x,כמות לייקים לביטויי התארגנות. 48-72 שעות לפני המשחק_x,כמות לייקים לביטויי התארגנות. 72-96 שעות לפני המשחק_x,כמות לייקים לביטויי התארגנות. 96-130 שעות לפני המשחק_x,כמות לייקים לביטויי התארגנות. 130-154 שעות לפני המשחק_x,כמות לייקים לביטויי התארגנות. 154-178 שעות לפני המשחק_x,כמות ביטויי אלימות מילולית. 3 שעות לפני המשחק_x,כמות ביטויי אלימות מילולית. 0-24 שעות לפני המשחק_x,כמות ביטויי אלימות מילולית. 24-48 שעות לפני המשחק_x,כמות ביטויי אלימות מילולית. 48-72 שעות לפני המשחק_x,כמות ביטויי אלימות מילולית. 72-96 שעות לפני המשחק_x,כמות ביטויי אלימות מילולית. 96-130 שעות לפני המשחק_x,כמות ביטויי אלימות מילולית. 130- 154 שעות לפני המשחק_x,כמות ביטויי אלימות מילולית. 154-178 שעות לפני המשחק_x,כמות לייקים לביטויי אלימות מילולית. 3 שעות לפני המשחק_x,כמות לייקים לביטויי אלימות מילולית 0-24 שעות לפני המשחק_x,כמות לייקים לביטויי אלימות מילולית. 24-48 שעות לפני המשחק_x,כמות לייקים לביטויי אלימות מילולית. 48-72 שעות לפני המשחק_x,כמות לייקים לביטויי אלימות מילולית. 72-96 שעות לפני המשחק_x,כמות לייקים לביטויי אלימות מילולית. 96-130 שעות לפני המשחק_x,כמות לייקים לביטויי אלימות מילולית. 130-154 שעות לפני המשחק_x,כמות לייקים לביטויי אלימות מילולית. 154-178 שעות לפני המשחק_x,כמות ביטויי קללות. 3 שעות לפני המשחק_x,כמות ביטויי קללות. 0-24 שעות לפני המשחק_x,כמות ביטויי קללות. 24-48 שעות לפני המשחק_x,כמות ביטויי קללות. 48-72 שעות לפני המשחק_x,כמות ביטויי קללות. 72-96 שעות לפני המשחק_x,כמות ביטויי קללות. 96-130. שעות לפני המשחק_x,כמות ביטויי קללות. 130-154 שעות לפני המשחק_x,כמות ביטויי קללות. 154-178 שעות לפני המשחק_x,כמות לייקים לביטויי קללות. 3 שעות לפני המשחק_x,כמות לייקים לביטויי קללות. 0-24 שעות לפני המשחק_x,כמות לייקים לביטויי קללות. 24-48 שעות לפני המשחק_x,כמות לייקים לביטויי קללות. 48-72 שעות לפני המשחק_x,כמות לייקים לביטויי קללות. 72-96 שעות לפני המשחק_x,כמות לייקים לביטויי קללות. 96-130 שעות לפני המשחק_x,כמות לייקים לביטויי קללות. 130-154 שעות לפני המשחק_x,כמות לייקים לביטויי קללות. 154-178 שעות לפני המשחק_x,כמות ביטויי רגשות שליליים. 3 שעות לפני המשחק_y,כמות ביטויי רגשות שליליים. 0-24 שעות לפני המשחק_y,כמות ביטויי רגשות שליליים. 24-48 שעות לפני המשחק_y,כמות ביטויי רגשות שליליים. 48-72 שעות לפני המשחק_y,כמות ביטויי רגשות שליליים. 72-96 שעות לפני המשחק_y,כמות ביטויי רגשות שליליים. 96-130 שעות לפני המשחק_y,כמות ביטויי רגשות שליליים. 130-154 שעות לפני המשחק_y,כמות ביטויי רגשות שליליים. 154-178 שעות לפני המשחק_y,כמות לייקים לרגשות שליליים. 3 שעות לפני המשחק_y,כמות לייקים לרגשות שליליים. 0-24 שעות לפני המשחק_y,כמות לייקים לרגשות שליליים. 24-48 שעות לפני המשחק_y,כמות לייקים לרגשות שליליים. 48-72 שעות לפני המשחק_y,כמות לייקים לרגשות שליליים. 72-96 שעות לפני המשחק_y,כמות לייקים לרגשות שליליים. 96-130 שעות לפני המשחק_y,כמות לייקים לרגשות שליליים. 130-154 שעות לפני המשחק_y,כמות לייקים לרגשות שליליים. 154-178 שעות לפני המשחק_y,כמות ביטויי רגשות חיוביים. 3 שעות לפני המשחק_y,כמות ביטויי רגשות חיוביים. 0-24 שעות לפני המשחק_y,כמות ביטויי רגשות חיוביים. 24-48 שעות לפני המשחק_y,כמות ביטויי רגשות חיוביים. 48-72 שעות לפני המשחק_y,כמות ביטויי רגשות חיוביים. 72-96 שעות לפני המשחק_y,כמות ביטויי רגשות חיוביים. 96-130 שעות לפני המשחק_y,כמות ביטויי רגשות חיוביים. 130-154 שעות לפני המשחק_y,כמות ביטויי רגשות חיוביים. 154-178 שעות לפני המשחק_y,כמות לייקים לרגשות חיוביים. 3 שעות לפני המשחק_y,כמות לייקים לרגשות חיוביים. 0-24 שעות לפני המשחק_y,כמות לייקים לרגשות חיוביים. 24-48 שעות לפני המשחק_y,כמות לייקים לרגשות חיוביים. 48-72 שעות לפני המשחק_y,כמות לייקים לרגשות חיוביים. 72-96 שעות לפני המשחק_y,כמות לייקים לרגשות חיוביים. 96-130 שעות לפני המשחק_y,כמות לייקים לרגשות חיוביים. 130-154 שעות לפני המשחק_y,כמות לייקים לרגשות חיוביים. 154-178 שעות לפני המשחק_y,כמות ביטויי דרמטיזציה. 3 שעות לפני המשחק._y,כמות ביטויי דרמטיזציה. 0-24 שעות לפני המשחק_y,כמות ביטויי דרמטיזציה. 24-48 שעות לפני המשחק_y,כמות ביטויי דרמטיזציה. 48-72 שעות לפני המשחק_y,כמות ביטויי דרמטיזציה. 72-96 שעות לפני המשחק_y,כמות ביטויי דרמטיזציה. 96-130 שעות לפני המשחק_y,כמות ביטויי דרמטיזציה. 130-154 שעות לפני המשחק_y,כמות דרמטיזציה. 154-178 שעות לפני המשחק_y,כמות לייקים לביטויי דרמטיזציה. 3 שעות לפני המשחק_y,כמות לייקים לביטויי דרמטיזציה. 0-24 שעות לפני המשחק_y,כמות לייקים לביטויי דרמטיזציה. 24-48 שעות לפני המשחק_y,כמות לייקים לביטויי דרמטיזציה. 48-72 שעות לפני המשחק_y,כמות לייקים לביטויי דרמטיזציה. 72-96 שעות לפני המשחק_y,כמות לייקים לביטויי דרמטיזציה. 96-130 שעות לפני המשחק_y,כמות לייקים לביטויי דרמטיזציה. 130-154 שעות לפני המשחק_y,כמות לייקים לביטויי דרמטיזציה. 154-178 שעות לפני המשחק_y,כמות ביטויי התארגנות. 3 שעות לפני המשחק_y,כמות ביטויי התארגנות. 0-24 שעות לפני המשחק_y,כמות ביטויי התארגנות. 24-48 שעות לפני המשחק_y,כמות ביטויי התארגנות. 48-72 שעות לפני המשחק_y,כמות ביטויי התארגנות. 72-96 שעות לפני המשחק._y,כמות ביטויי התארגנות. 96-130 שעות לפני המשחק_y,כמות ביטויי התארגנות. 130-154 שעות לפני המשחק_y,כמות ביטויי התארגנות. 154-178 שעות לפני המשחק_y,כמות לייקים לביטויי התארגנות. 3 שעות לפני המשחק_y,כמות לייקים לביטויי התארגנות. 0-24 שעות לפני המשחק_y,כמות לייקים לביטויי התארגנות. 24-48 שעות לפני המשחק_y,כמות לייקים לביטויי התארגנות. 48-72 שעות לפני המשחק_y,כמות לייקים לביטויי התארגנות. 72-96 שעות לפני המשחק_y,כמות לייקים לביטויי התארגנות. 96-130 שעות לפני המשחק_y,כמות לייקים לביטויי התארגנות. 130-154 שעות לפני המשחק_y,כמות לייקים לביטויי התארגנות. 154-178 שעות לפני המשחק_y,כמות ביטויי אלימות מילולית. 3 שעות לפני המשחק_y,כמות ביטויי אלימות מילולית. 0-24 שעות לפני המשחק_y,כמות ביטויי אלימות מילולית. 24-48 שעות לפני המשחק_y,כמות ביטויי אלימות מילולית. 48-72 שעות לפני המשחק_y,כמות ביטויי אלימות מילולית. 72-96 שעות לפני המשחק_y,כמות ביטויי אלימות מילולית. 96-130 שעות לפני המשחק_y,כמות ביטויי אלימות מילולית. 130- 154 שעות לפני המשחק_y,כמות ביטויי אלימות מילולית. 154-178 שעות לפני המשחק_y,כמות לייקים לביטויי אלימות מילולית. 3 שעות לפני המשחק_y,כמות לייקים לביטויי אלימות מילולית 0-24 שעות לפני המשחק_y,כמות לייקים לביטויי אלימות מילולית. 24-48 שעות לפני המשחק_y,כמות לייקים לביטויי אלימות מילולית. 48-72 שעות לפני המשחק_y,כמות לייקים לביטויי אלימות מילולית. 72-96 שעות לפני המשחק_y,כמות לייקים לביטויי אלימות מילולית. 96-130 שעות לפני המשחק_y,כמות לייקים לביטויי אלימות מילולית. 130-154 שעות לפני המשחק_y,כמות לייקים לביטויי אלימות מילולית. 154-178 שעות לפני המשחק_y,כמות ביטויי קללות. 3 שעות לפני המשחק_y,כמות ביטויי קללות. 0-24 שעות לפני המשחק_y,כמות ביטויי קללות. 24-48 שעות לפני המשחק_y,כמות ביטויי קללות. 48-72 שעות לפני המשחק_y,כמות ביטויי קללות. 72-96 שעות לפני המשחק_y,כמות ביטויי קללות. 96-130. שעות לפני המשחק_y,כמות ביטויי קללות. 130-154 שעות לפני המשחק_y,כמות ביטויי קללות. 154-178 שעות לפני המשחק_y,כמות לייקים לביטויי קללות. 3 שעות לפני המשחק_y,כמות לייקים לביטויי קללות. 0-24 שעות לפני המשחק_y,כמות לייקים לביטויי קללות. 24-48 שעות לפני המשחק_y,כמות לייקים לביטויי קללות. 48-72 שעות לפני המשחק_y,כמות לייקים לביטויי קללות. 72-96 שעות לפני המשחק_y,כמות לייקים לביטויי קללות. 96-130 שעות לפני המשחק_y,כמות לייקים לביטויי קללות. 130-154 שעות לפני המשחק_y,כמות לייקים לביטויי קללות. 154-178 שעות לפני המשחק_y,מספר הכרטיסים הצהובים לקבוצת הבית,מספר הכרטיסים האדומים לקבוצת המתארחת,מספר הכרטיסים האדומים לקבוצת הבית,מספר הכרטיסים הצהובים לקבוצת הבית,רמת האלימות,רמת האלימות.1,רמת האלימות.2,רמת האלימות.3,רמת האלימות.4,רמת האלימות.5,רמת האלימות.6,רמת האלימות.7,רמת האלימות.8
0,2017-11-27,ביתר_ירושלים,באר_שבע,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0.0,0,21,1,0,0,0,0,0,0,27,5,0,0,0,0,0.0,0.0,42.0,84.0,0.0,0.0,0.0,0.0,0,0,49,6,0,0,0,0,0,0,31,92,0,0,0,0,0,0,16,5,0,0,0,0,0,0,26,45,0,0,0,0,0.0,15,1,0,0,0,0,0,0.0,0.0,28.0,4.0,0.0,0.0,0.0,0.0,0,0,23.0,3,0,0,0,0,0,0,19,6,0,0,0,0,4,0,1,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2017-12-17,מכבי_נתניה,באר_שבע,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1.0,0,0,0,0,0,0,0,12,13,3,0,0,0,0,0,12.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,7,6,2,0,0,0,0,0,7,1,1,0,0,0,0,0,2,4,2,1,0,0,0,0,2,1,0,0,0,0,0,0,2.0,6,0,1,0,0,0,0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6,10,4.0,1,0,0,0,0,6,1,2,0,0,0,0,0,5,0,0,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2018-02-04,מכבי_תל_אביב,באר_שבע,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,3,6,9,16,2.0,36,0,0,3,2,32,47,69,94,4,6,21,37,26,43,69.0,65.0,10.0,0.0,20.0,11.0,21.0,87.0,54,87,7,4,28,24,26,44,54,69,20,0,30,12,16,51,18,44,4,1,11,5,8,27,18,32,2,0,11,0,7,42,40.0,1,0,9,9,5,21,42,7.0,0.0,8.0,84.0,3.0,24.0,0.0,0.0,27,61,3.0,3,15,22,15,41,27,56,22,0,20,88,23,59,1,2,1,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018-04-09,מכבי_תל_אביב,באר_שבע,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,59,4,3,0,3,25,81,3.0,100,2,4,0,1,22,93,6,91,15,14,1,14,27,104,6.0,294.0,17.0,21.0,0.0,1.0,41.0,269.0,9,130,36,8,1,15,32,96,9,519,20,5,0,5,52,309,3,53,11,3,1,7,10,33,3,195,1,3,0,3,4,99,8.0,83,9,4,0,6,30,98,8.0,186.0,1.0,9.0,0.0,1.0,27.0,186.0,9,134,18.0,6,3,14,30,124,9,516,6,7,0,11,54,240,4,1,2,4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2017-10-29,מס_אשדוד,באר_שבע,0,1,2,0,1,4,0,3,0.0,0,0,0,1,4,0,5,0,9,19,19,23,16,40,179,0.0,0.0,17.0,3.0,31.0,5.0,14.0,87.0,0,6,11,12,22,12,30,93,0,0,5,2,24,2,11,44,0,6,6,2,13,3,6,20,0,0,4,1,15,8,4,8,0.0,0,5,6,4,1,7,44,0.0,0.0,2.0,1.0,5.0,0.0,6.0,21.0,0,5,7.0,8,12,8,12,29,0,0,2,1,19,8,6,17,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,6,0,1,1,18,0,3,1.0,6.0,0.0,0.0,0.0,15.0,0.0,6.0,4,6,1,0,0,0,7,5,1,7,0,0,0,15,0,6,1,4,0,0,2,3,0,1,1,6,0,0,1,3,0,5,0.0,3,0,0,0,1,0,0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,1.0,0,0,2,1,1,0,2,0,0,0,1,1,1,3,0,0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2018-02-25,באר_שבע,ביתר_ירושלים,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2017-11-04,בני_יהודה,ביתר_ירושלים,4,2,6,15,1,9,4,7,4.0,0,0,2,1,8,0,5,15,11,10,3,4,43,13,5,15.0,3.0,7.0,2.0,1.0,62.0,2.0,11.0,11,10,9,3,3,35,12,9,11,1,5,0,1,29,2,10,1,0,1,1,0,17,4,4,1,0,0,0,0,23,0,5,9.0,2,1,0,2,19,4,6,9.0,0.0,1.0,0.0,1.0,39.0,0.0,5.0,11,7,4.0,0,2,15,11,10,11,2,1,0,1,16,3,18,0,0,0,0,0,0,0,11,0.0,0,0,0,0,0,0,26,0,0,0,43,0,0,0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,10,0,0,0,0,0,0,22,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0.0,0,0,0,0,0,0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0,0,0.0,0,0,0,0,43,0,0,0,0,0,0,0,147,2,0,0,2,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2018-01-29,מכבי_נתניה,ביתר_ירושלים,1,1,2,3,1,0,16,0,1.0,0,0,5,2,0,19,0,2,11,3,15,4,8,20,0,2.0,4.0,0.0,21.0,1.0,3.0,19.0,0.0,1,12,4,12,3,14,13,0,1,3,1,10,1,20,36,0,1,11,4,4,0,4,8,0,1,1,1,16,0,6,8,0,2.0,4,3,2,1,6,14,0,2.0,1.0,0.0,1.0,0.0,13.0,17.0,0.0,1,14,11.0,11,0,13,16,0,1,2,1,9,0,22,31,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2018-04-30,מכבי_נתניה,ביתר_ירושלים,0,2,0,2,1,1,1,0,0.0,1,0,1,2,7,0,0,5,15,7,4,20,29,6,0,5.0,37.0,18.0,5.0,13.0,50.0,0.0,0.0,3,9,2,9,17,13,4,0,3,11,1,21,12,27,0,0,2,2,2,3,3,5,4,0,2,5,0,17,9,18,0,0,1.0,8,4,2,5,6,1,0,1.0,12.0,1.0,1.0,1.0,19.0,0.0,0.0,2,7,1.0,4,6,4,6,0,2,14,1,7,3,26,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0
9,2017-09-11,מכבי_פתח_תקווה,ביתר_ירושלים,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,7,0,1,0,0,1,2,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0,7,1,1,1,0,1,2,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,12,0,1,5,1,3,14,2.0,50.0,0.0,0.0,16.0,0.0,6.0,83.0,0,0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,4,0,0,11,0.0,7,0,0,5,0,0,95,4,56,0,1,24,0,12,34,4.0,197.0,0.0,0.0,91.0,0.0,3.0,135.0,5,53,0,0,25,0,10,22,5,164,0,0,93,0,8,83,2,14,0,0,5,0,6,11,2,100,0,0,13,0,8,86,2.0,12,1,0,5,1,3,14,2.0,50.0,0.0,0.0,16.0,0.0,6.0,83.0,1,24,0.0,1,12,0,5,23,1,37,0,0,23,0,1,109,4,1,0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2018-05-15,מכבי_תל_אביב,ביתר_ירושלים,0,9,8,9,20,0,2,0,0.0,20,1,14,28,0,2,0,8,43,95,18,94,6,13,7,7.0,81.0,30.0,9.0,83.0,45.0,18.0,67.0,0,38,54,14,94,7,10,5,0,75,43,5,402,19,6,0,0,11,8,9,20,2,6,1,0,22,3,36,124,0,1,0,2.0,16,12,10,32,5,0,1,2.0,29.0,3.0,19.0,142.0,1.0,0.0,0.0,4,18,19.0,15,63,5,11,5,4,54,12,15,302,20,7,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2017-12-24,מס_אשדוד,ביתר_ירושלים,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,6,1,0,3,1,0,3,0,0,0,0,0,0,0,1,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2018-04-08,ביתר_ירושלים,בני_יהודה,3,6,0,2,1,3,0,0,3.0,9,0,1,0,1,0,0,2,34,5,4,21,18,6,0,2.0,25.0,1.0,2.0,4.0,5.0,1.0,0.0,1,22,3,4,10,9,6,0,1,20,0,5,1,5,1,0,0,4,0,2,0,0,3,0,0,6,0,1,0,0,2,0,0.0,6,0,2,4,2,0,0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,2,12,1.0,4,3,10,2,0,2,12,1,4,3,10,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
